treatment_type,kd_target,target_organelle,target_role,control_type,measured_var,replicate,ctrl_value,trt_value,trt_ctrl_ratio,kd_efficiency,notes,,
siSNAP23 SC pool,SNAP23,Vesicle_PM,pm_tSNARE,siNT,kd_target,1,40365.517,1357.749,0.0336363584789463,0.966363641521054,,,
siSNAP23 s16709,SNAP23,Vesicle_PM,pm_tSNARE,siNT,sFlt1_CM,2,81423.044,82324.591,1.01107238142558,NA,,,
siSNAP23 s16709,SNAP23,Vesicle_PM,pm_tSNARE,siNT,sFlt1_lysate,2,1334.598,25572.329,19.1610724727596,NA,,,
siSNAP23 s16709,SNAP23,Vesicle_PM,pm_tSNARE,siNT,kd_target,2,39060.931,2968.033,0.0759846968317268,0.924015303168273,,,
siSNAP23 SC pool,SNAP23,Vesicle_PM,pm_tSNARE,siNT,sFlt1_CM,2,65972.123,70399.115,1.06710397966123,NA,,,
siSNAP23 SC pool,SNAP23,Vesicle_PM,pm_tSNARE,siNT,sFlt1_lysate,2,81373.734,72541.893,0.891465703171493,NA,,,
siSNAP23 SC pool,SNAP23,Vesicle_PM,pm_tSNARE,siNT,kd_target,2,52471.07,33955.726,0.647132334065229,0.352867665934771,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_CM,1,81423.044,39361.037,0.483413970619914,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_lysate,1,1334.598,11113.451,8.32718991037001,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,kd_target,1,NA,NA,NA,,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_CM,2,7846.744,184.556,0.0235200740587433,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_lysate,2,70384.571,57751.266,0.820510307578631,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,kd_target,2,36538.898,2062.891,0.0564573950752428,0.943542604924757,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_CM,3,6826.187,298.799,0.0437724603794183,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_lysate,3,27020.898,30486.291,1.12824862445356,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,kd_target,3,NA,NA,NA,,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_CM,4,73702.253,38902.773,0.527836957711456,NA,,,
siSTX3 SC pool,STX3,Vesicle_PM,apical_pm_tSNARE,siNT,sFlt1_lysate,4,79149.449,67153.943,0.848444857777848,NA,,,
